Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,X,Y,Victima,Acusado,Sexo,Edad,Gravedad
75,1,2019,SD,SD,-58.514654,-34.64153,PEATON,SD,Varon,SD,SD
76,1,2019,SD,SD,-58.477241,-34.595179,MOTO,SD,Varon,38,SD
77,1,2019,SD,SD,-58.413443,-34.626664,AUTO,SD,Varon,37,SD
78,2,2019,SD,SD,-58.479158,-34.590782,SD,SD,Varon,37,SD
79,2,2019,SD,SD,SD,SD,AUTO,SD,Varon,48,SD
80,1,2019,SD,SD,-58.453898,-34.58744,PEATON,SD,Mujer,5,SD
81,1,2019,SD,SD,-58.439337,-34.608879,MOTO,SD,Mujer,SD,SD
82,3,2019,SD,SD,-58.454242,-34.585794,SD,SD,Mujer,SD,SD
83,1,2019,SD,SD,-58.529911,-34.625715,MOTO,SD,Varon,SD,SD
84,1,2019,SD,SD,-58.444788,-34.584513,PEATON,SD,Varon,34,SD
85,1,2019,SD,SD,-58.451299,-34.58028,PEATON,SD,Varon,39,SD
86,1,2019,SD,SD,-58.391554,-34.635687,AUTO,SD,Varon,SD,SD
87,1,2019,SD,SD,-58.514329,-34.617879,PEATON,SD,Mujer,28,SD
88,1,2019,SD,SD,-58.402176,-34.623778,TRANSPORTE PUBLICO,SD,Varon,SD,SD
89,1,2019,SD,SD,-58.421782,-34.597734,MOTO,SD,Varon,23,SD
90,1,2019,SD,SD,-58.474577,-34.68688,SD,SD,Varon,34,SD
91,1,2019,SD,SD,-58.4727,-34.560778,SD,SD,Mujer,56,SD
92,1,2019,SD,SD,-58.404144,-34.617043,SD,SD,Mujer,44,SD
93,1,2019,SD,SD,SD,SD,CICLISTA,SD,Mujer,26,SD
94,1,2019,SD,SD,-58.5011,-34.636705,CICLISTA,SD,Mujer,69,SD
95,1,2019,SD,SD,-58.407935,-34.618887,CICLISTA,SD,Mujer,69,SD
96,1,2019,SD,SD,-58.416892,-34.610987,SD,SD,Varon,26,SD
97,3,2019,SD,SD,-58.412835,-34.655086,TRANSPORTE PUBLICO,SD,Mujer,26,SD
98,1,2019,SD,SD,-58.403052,-34.625845,AUTO,SD,Mujer,55,SD
99,1,2019,SD,SD,-58.392912,-34.619174,PEATON,SD,Varon,46,SD
100,1,2019,SD,SD,-58.529805,-34.627034,SD,SD,Mujer,SD,SD
101,1,2019,SD,SD,-58.501286,-34.622979,MOTO,SD,Mujer,SD,SD
102,1,2019,SD,SD,-58.405445,-34.627374,PEATON,SD,Mujer,34,SD
103,1,2019,SD,SD,-58.442861,-34.657568,SD,SD,Varon,29,SD
104,1,2019,SD,SD,-58.36793,-34.605172,MOTO,SD,Mujer,34,SD
105,1,2019,SD,SD,-58.441826,-34.60066,PEATON,SD,Varon,SD,SD
106,1,2019,SD,SD,-58.467688,-34.549342,TRANSPORTE PUBLICO,SD,Varon,34,SD
107,1,2019,SD,SD,-58.47462,-34.683043,MOTO,SD,Varon,26,SD
108,2,2019,SD,SD,-58.465951,-34.658307,SD,SD,Mujer,38,SD
109,1,2019,SD,SD,-58.474932,-34.604173,MOTO,SD,Varon,53,SD
110,1,2019,SD,SD,-58.488908,-34.634216,PEATON,SD,Varon,23,SD
111,1,2019,SD,SD,-58.493016,-34.601758,SD,SD,Varon,28,SD
112,1,2019,SD,SD,-58.469868,-34.633801,CICLISTA,SD,Varon,41,SD
113,1,2019,SD,SD,-58.381483,-34.594546,PEATON,SD,Varon,56,SD
114,1,2019,SD,SD,-58.50758,-34.604624,AUTO,SD,Varon,43,SD
115,1,2019,SD,SD,-58.405356,-34.590326,MOTO,SD,Varon,67,SD
116,1,2019,SD,SD,-58.378123,-34.602378,AUTO,SD,Varon,67,SD
117,2,2019,SD,SD,-58.380012,-34.622135,MOTO,SD,Varon,40,SD
118,1,2019,SD,SD,-58.411924,-34.598002,MOTO,SD,Varon,33,SD
