Año,% Mujeres_accidentadas
2000,34.53913370290332
2001,32.511054223877125
2002,34.347524294308194
2003,32.58811452036044
2004,33.33333333333333
2005,33.03421753278769
2006,30.493195804801942
2007,30.39003250270856
2008,29.761904761904763
2009,28.92534315366589
2010,27.32177263969172
2011,28.232246924239192
2012,29.32993276141889
2013,29.546621043627
2014,30.039600226287
2015,30.801457194899804
2016,32.2857910287403
2017,24.0
2018,28.1
