Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,Victima,Acusado
117,1,2023,SD,AU 25 DE MAYO,SD,SD
118,1,2023,SD,AU 25 DE MAYO,SD,SD
119,2,2023,SD,AU FRONDIZI,SD,SD
120,2,2023,SD,PASEO DEL BAJO,SD,SD
121,1,2023,SD,AU 25 DE MAYO,SD,SD
122,2,2023,SD,AU 25 DE MAYO,SD,SD
123,2,2023,SD,AV. LUGONES,SD,SD
124,2,2023,SD,AU DELLEPIANE,SD,SD
125,1,2023,SD,AU PERITO MORENO,SD,SD
126,3,2023,SD,AU 25 DE MAYO,SD,SD
127,2,2023,SD,AU 25 DE MAYO,SD,SD
128,2,2023,SD,AU DELLEPIANE,SD,SD
129,2,2023,SD,AU PERITO MORENO,SD,SD
130,4,2023,SD,AU 25 DE MAYO,SD,SD
131,1,2023,SD,AU 25 DE MAYO,SD,SD
132,1,2023,SD,AV. LUGONES,SD,SD
133,3,2023,SD,AU 25 DE MAYO,SD,SD
134,2,2023,SD,AV. CANTILO,SD,SD
135,3,2023,SD,AU 25 DE MAYO,SD,SD
136,1,2023,SD,AU 25 DE MAYO,SD,SD
137,1,2023,SD,AU DELLEPIANE,SD,SD
138,1,2023,SD,AU ILLIA,SD,SD
139,1,2023,SD,AU DELLEPIANE,SD,SD
140,2,2023,SD,AU PERITO MORENO,SD,SD
141,1,2023,SD,AU ILLIA,SD,SD
142,2,2023,SD,AU PERITO MORENO,SD,SD
143,1,2023,SD,AU DELLEPIANE,SD,SD
144,2,2023,SD,TRANSICION RAMAL 2,SD,SD
145,1,2023,SD,AV. LUGONES,SD,SD
146,2,2023,SD,AU 25 DE MAYO,SD,SD
147,2,2023,SD,AU DELLEPIANE,SD,SD
148,2,2023,SD,AU PERITO MORENO,SD,SD
149,2,2023,SD,AU DELLEPIANE,SD,SD
150,1,2023,SD,AU ILLIA,SD,SD
151,2,2023,SD,AV. CANTILO,SD,SD
152,3,2023,SD,AU 25 DE MAYO,SD,SD
153,1,2023,SD,AU 25 DE MAYO,SD,SD
154,2,2023,SD,AU 25 DE MAYO,SD,SD
155,1,2023,SD,AU 25 DE MAYO,SD,SD
156,2,2023,SD,AU 25 DE MAYO,SD,SD
157,2,2023,SD,AU 25 DE MAYO,SD,SD
158,2,2023,SD,AU 25 DE MAYO,SD,SD
159,2,2023,SD,AU FRONDIZI,SD,SD
160,1,2023,SD,DIST. 9 DE JULIO,SD,SD
161,1,2023,SD,AU ILLIA,SD,SD
162,1,2023,SD,AU DELLEPIANE,SD,SD
163,1,2023,SD,AU 25 DE MAYO,SD,SD
164,2,2023,SD,PASEO DEL BAJO,SD,SD
165,2,2023,SD,AU FRONDIZI,SD,SD
166,2,2023,SD,AU PERITO MORENO,SD,SD
167,2,2023,SD,AU FRONDIZI,SD,SD
168,2,2023,SD,AU 25 DE MAYO,SD,SD
169,2,2023,SD,AU CAMPORA,SD,SD
170,1,2023,SD,AU ILLIA,SD,SD
171,2,2023,SD,AU DELLEPIANE,SD,SD
172,1,2023,SD,AU ILLIA,SD,SD
173,1,2023,SD,AU ILLIA,SD,SD
174,2,2023,SD,AU DELLEPIANE,SD,SD
175,2,2023,SD,AU ILLIA,SD,SD
176,2,2023,SD,AU 25 DE MAYO,SD,SD
177,1,2023,SD,AU 25 DE MAYO,SD,SD
178,2,2023,SD,AU 25 DE MAYO,SD,SD
179,4,2023,SD,AU 25 DE MAYO,SD,SD
180,2,2023,SD,AU ILLIA,SD,SD
181,1,2023,SD,AU FRONDIZI,SD,SD
182,1,2023,SD,AU ILLIA,SD,SD
183,2,2023,SD,AV. LUGONES,SD,SD
184,2,2023,SD,AV. LUGONES,SD,SD
185,4,2023,SD,AV. LUGONES,SD,SD
186,2,2023,SD,AV. LUGONES,SD,SD
187,1,2023,SD,AU ILLIA,SD,SD
188,1,2023,SD,TRANSICION RAMAL 2,SD,SD
189,2,2023,SD,AU 25 DE MAYO,SD,SD
190,1,2023,SD,AU ILLIA,SD,SD
191,2,2023,SD,AV. LUGONES,SD,SD
192,2,2023,SD,AV. LUGONES,SD,SD
193,1,2023,SD,AV. LUGONES,SD,SD
194,2,2023,SD,AU FRONDIZI,SD,SD
195,1,2023,SD,AU DELLEPIANE,SD,SD
196,2,2023,SD,AV. LUGONES,SD,SD
197,3,2023,SD,AU ILLIA,SD,SD
198,1,2023,SD,AU DELLEPIANE,SD,SD
199,2,2023,SD,AU 25 DE MAYO,SD,SD
